ID,labelID,labelWord
00001,47,ElectricMotorGeneric
00002,47,ElectricMotorGeneric
00003,47,ElectricMotorGeneric
00004,46,GeneratorGeneric
00005,46,GeneratorGeneric
00006,46,GeneratorGeneric
00007,45,DiscreteFrontCentralPanel
00008,45,DiscreteFrontCentralPanel
00009,45,DiscreteFrontCentralPanel
00010,44,DiscreteField
00011,44,DiscreteField
00012,44,DiscreteField
00013,43,NeedleValve
00014,43,NeedleValve
00015,43,NeedleValve
00016,42,GlobeValveGeneric
00017,42,GlobeValveGeneric
00018,42,GlobeValveGeneric
00019,41,BallValveGeneric
00020,41,BallValveGeneric
00021,41,BallValveGeneric
00022,40,CheckValveGeneric
00023,40,CheckValveGeneric
00024,40,CheckValveGeneric
00025,39,GateValveHandOperated
00026,39,GateValveHandOperated
00027,39,GateValveHandOperated
00028,38,GateValvePneumaticDiaphragm
00029,38,GateValvePneumaticDiaphragm
00030,38,GateValvePneumaticDiaphragm
00031,37,ButterflyValveGeneric
00032,37,ButterflyValveGeneric
00033,37,ButterflyValveGeneric
00034,36,ThreeWayValveGeneric
00035,36,ThreeWayValveGeneric
00036,36,ThreeWayValveGeneric
00037,5,ReactorGeneric
00038,5,ReactorGeneric
00039,5,ReactorGeneric
00040,4,ValveGeneric
00041,4,ValveGeneric
00042,4,ValveGeneric
00043,3,ColumnFluidizedBed
00044,3,ColumnFluidizedBed
00045,3,ColumnFluidizedBed
00046,2,ThinFilmEvaporator
00047,2,ThinFilmEvaporator
00048,2,ThinFilmEvaporator
00049,1,PumpGeneric
00050,1,PumpGeneric
00051,1,PumpGeneric
00052,0,CentrifugalPump
00053,0,CentrifugalPump
00054,0,CentrifugalPump
00055,11,Turbine Generic
00056,11,Turbine Generic
00057,11,Turbine Generic
00058,10,TankConicalRoofFlatBottom
00059,10,TankConicalRoofFlatBottom
00060,10,TankConicalRoofFlatBottom
00061,9,CompressorGeneric
00062,9,CompressorGeneric
00063,9,CompressorGeneric
00064,8,FilterGeneric
00065,8,FilterGeneric
00066,8,FilterGeneric
00067,7,SprayDryer
00068,7,SprayDryer
00069,7,SprayDryer
00070,6,HeatExchangerGeneric
00071,6,HeatExchangerGeneric
00072,6,HeatExchangerGeneric
00073,17,TrayColumnGeneric
00074,17,TrayColumnGeneric
00075,17,TrayColumnGeneric
00076,16,ColumnGeneric
00077,16,ColumnGeneric
00078,16,ColumnGeneric
00079,15,TankDishedRoof
00080,15,TankDishedRoof
00081,15,TankDishedRoof
00082,14,GasCylinder
00083,14,GasCylinder
00084,14,GasCylinder
00085,13,VesselDishedEndsGeneric
00086,13,VesselDishedEndsGeneric
00087,13,VesselDishedEndsGeneric
00088,12,VesselGeneric
00089,12,VesselGeneric
00090,12,VesselGeneric
00091,23,PlateHeatExchanger
00092,23,PlateHeatExchanger
00093,23,PlateHeatExchanger
00094,22,FixedStraightTubes
00095,22,FixedStraightTubes
00096,22,FixedStraightTubes
00097,21,HeatExchangerGeneric2
00098,21,HeatExchangerGeneric2
00099,21,HeatExchangerGeneric2
00100,20,SeperatorGeneric
00101,20,SeperatorGeneric
00102,20,SeperatorGeneric
00103,19,CoolingTowerGeneric
00104,19,CoolingTowerGeneric
00105,19,CoolingTowerGeneric
00106,18,ColumnFixedBed
00107,18,ColumnFixedBed
00108,18,ColumnFixedBed
00109,29,AxialCompressor
00110,29,AxialCompressor
00111,29,AxialCompressor
00112,28,ReciprocatingPump
00113,28,ReciprocatingPump
00114,28,ReciprocatingPump
00115,27,BlowerGeneric
00116,27,BlowerGeneric
00117,27,BlowerGeneric
00118,26,KettleReboiler
00119,26,KettleReboiler
00120,26,KettleReboiler
00121,25,Furnace
00122,25,Furnace
00123,25,Furnace
00124,24,CoilShapedTubes
00125,24,CoilShapedTubes
00126,24,CoilShapedTubes
00127,35,AngleBallValve
00128,35,AngleBallValve
00129,35,AngleBallValve
00130,34,SignalLine
00131,34,SignalLine
00132,34,SignalLine
00133,33,FlowStream
00134,33,FlowStream
00135,33,FlowStream
00136,32,Splitter
00137,32,Splitter
00138,32,Splitter
00139,31,RotaryMixer
00140,31,RotaryMixer
00141,31,RotaryMixer
00142,30,OPCRight
00143,30,OPCRight
00144,30,OPCRight
00145,59,AlternateChoiceOrSafetyInstrumentedSystemFrontCentralPanel
00146,59,AlternateChoiceOrSafetyInstrumentedSystemFrontCentralPanel
00147,59,AlternateChoiceOrSafetyInstrumentedSystemFrontCentralPanel
00148,58,PrimaryChoiceOrBasicProcessControlSystemFrontCentralPanel
00149,58,PrimaryChoiceOrBasicProcessControlSystemFrontCentralPanel
00150,58,PrimaryChoiceOrBasicProcessControlSystemFrontCentralPanel
00151,57,CrusherImpactType
00152,57,CrusherImpactType
00153,57,CrusherImpactType
00154,56,SolidShellCentrifuge
00155,56,SolidShellCentrifuge
00156,56,SolidShellCentrifuge
00157,55,Burner
00158,55,Burner
00159,55,Burner
00160,54,AgitatorDisc
00161,54,AgitatorDisc
00162,54,AgitatorDisc
00163,53,AgitatorPropeller
00164,53,AgitatorPropeller
00165,53,AgitatorPropeller
00166,52,AgitatorGeneric
00167,52,AgitatorGeneric
00168,52,AgitatorGeneric
00169,51,SieveGeneric
00170,51,SieveGeneric
00171,51,SieveGeneric
00172,50,GrinderGeneric
00173,50,GrinderGeneric
00174,50,GrinderGeneric
00175,49,RotatingExtruder
00176,49,RotatingExtruder
00177,49,RotatingExtruder
00178,48,Chimney
00179,48,Chimney
00180,48,Chimney
00181,11,Turbine Generic
00182,11,Turbine Generic
00183,11,Turbine Generic
00184,10,TankConicalRoofFlatBottom
00185,10,TankConicalRoofFlatBottom
00186,10,TankConicalRoofFlatBottom
00187,9,CompressorGeneric
00188,9,CompressorGeneric
00189,9,CompressorGeneric
00190,8,FilterGeneric
00191,8,FilterGeneric
00192,8,FilterGeneric
00193,7,SprayDryer
00194,7,SprayDryer
00195,7,SprayDryer
00196,6,HeatExchangerGeneric
00197,6,HeatExchangerGeneric
00198,6,HeatExchangerGeneric
00199,5,ReactorGeneric
00200,5,ReactorGeneric
00201,5,ReactorGeneric
00202,4,ValveGeneric
00203,4,ValveGeneric
00204,4,ValveGeneric
00205,3,ColumnFluidizedBed
00206,3,ColumnFluidizedBed
00207,3,ColumnFluidizedBed
00208,2,ThinFilmEvaporator
00209,2,ThinFilmEvaporator
00210,2,ThinFilmEvaporator
00211,1,PumpGeneric
00212,1,PumpGeneric
00213,1,PumpGeneric
00214,0,CentrifugalPump
00215,0,CentrifugalPump
00216,0,CentrifugalPump
00217,17,TrayColumnGeneric
00218,17,TrayColumnGeneric
00219,17,TrayColumnGeneric
00220,16,ColumnGeneric
00221,16,ColumnGeneric
00222,16,ColumnGeneric
00223,15,TankDishedRoof
00224,15,TankDishedRoof
00225,15,TankDishedRoof
00226,14,GasCylinder
00227,14,GasCylinder
00228,14,GasCylinder
00229,13,VesselDishedEndsGeneric
00230,13,VesselDishedEndsGeneric
00231,13,VesselDishedEndsGeneric
00232,12,VesselGeneric
00233,12,VesselGeneric
00234,12,VesselGeneric
00235,23,PlateHeatExchanger
00236,23,PlateHeatExchanger
00237,23,PlateHeatExchanger
00238,22,FixedStraightTubes
00239,22,FixedStraightTubes
00240,22,FixedStraightTubes
